Seed	Size	Fitness	Members
YBR142W	37	0.56524132	YNR038W,YKR024C,YKL078W,YMR128W,YJL050W,YLR398C,YGL251C,YDL084W,YKR059W,YHR169W,YJL138C,YGL064C,YMR190C,YOR046C,YGL078C,YOR204W,YNL112W,YGL171W,YGL120C,YLL008W,YLR276C,YDL031W,YFL002C,YLR032W,YJR035W,YPL082C,YFR038W,YGL163C,YOR191W,YIR002C,YBR114W,YAL019W,YBR073W,YOL144W,YLR221C,YKL014C
YBR143C	3	0.134820335	YDR172W,YNL001W
YBR146W	30	0.907584493	YNL081C,YPR166C,YPL013C,YDL045W-A,YMR188C,YPL118W,YMR158W,YER050C,YKL003C,YGR165W,YDR347W,YGR084C,YOR158W,YIL093C,YJR101W,YGL129C,YBL090W,YNL306W,YNL137C,YDR337W,YJR113C,YGR215W,YNR037C,YDR175C,YDR041W,YKL155C,YBR251W,YHL004W,Q0140
YBR152W	19	0.55645441	YGR006W,YGR091W,YPR178W,YDR473C,YBR055C,YOR308C,YDL098C,YBL026W,YPR082C,YER146W,YKL173W,YNL147W,YER112W,YDR378C,YJR022W,YLR438C-A,YEL026W,YJL124C
YBR154C	35	0.866049766	YHR143W-A,YOR210W,YOR224C,YPR187W,YNL113W,YPR110C,YOR151C,YIL021W,YDR404C,YGL070C,YJL140W,YOL005C,YOR207C,YPR010C,YDR045C,YJL011C,YOR116C,YNL151C,YKR025W,YJR063W,YDR156W,YKL144C,YDL150W,YJL148W,YNR003C,YOR340C,YPR190C,YOR341W,YNL248C,YGR005C,YGR186W,YML010W,YGR063C,YGL043W
YBR155W	12	0.12994534	YKL022C,YHR166C,YLR216C,YOR027W,YOL145C,YNL121C,YPR189W,YOR007C,YBL084C,YJR032W,YBR112C
YBR156C	3	0.076605714	YPL209C,YJR089W
YBR160W	12	0.265834389	YAL040C,YLR210W,YGR109C,YGR108W,YDL155W,YPR120C,YPR119W,YMR199W,YPL256C,YJL006C,YNL289W
YBR161W	2	0.021834877	YJR075W
YBR164C	4	0.076211305	YDL192W,YDL137W,YOR094W
YBR167C	10	1	YBL018C,YNL282W,YAL033W,YGR030C,YNL221C,YBR257W,YHR062C,YDR478W,YLR145W
YBR168W	2	1	YLR324W
YBR169C	13	0.331754947	YHR064C,YJL034W,YEL030W,YER103W,YLR369W,YPL106C,YNL209W,YDL229W,YLL024C,YAL005C,YBL075C,YGR285C
